Feature,Importance
CustomerID_AC-106140,1.9688924525470394e-09
CustomerID_AC-105176,1.9569623851901428e-09
TransactionDate_2024-08-31,1.9529477872818786e-09
CustomerID_AC-103839,1.938303249110898e-09
TransactionDate_2025-05-09,1.9215539908087796e-09
TransactionDate_2024-09-06,1.9075038103542356e-09
CustomerID_AC-109953,1.886742887377678e-09
CustomerID_AC-103951,1.8768850969333435e-09
CustomerID_AC-105116,1.8663827081802355e-09
CustomerID_AC-109724,1.8489148180488873e-09
CustomerID_AC-108538,1.8279271202085565e-09
TransactionDate_2024-12-29,1.8259562202073962e-09
CustomerID_AC-105130,1.8235827324606479e-09
CustomerID_AC-107049,1.8139238120980205e-09
TransactionDate_2024-05-01,1.8031850273904855e-09
CustomerID_AC-108763,1.8000971135396059e-09
CustomerID_AC-101401,1.7742897556293055e-09
CustomerID_AC-100460,1.7735563125977644e-09
TransactionDate_2024-08-22,1.7512040268076828e-09
CustomerID_AC-103537,1.749095546497504e-09
CustomerID_AC-101720,1.746329934022728e-09
TransactionDate_2024-09-08,1.7207711296576627e-09
TransactionDate_2024-05-18,1.7157443790910056e-09
CustomerID_AC-106759,1.7147268713298598e-09
TransactionDate_2024-06-16,1.6988750436678494e-09
CustomerID_AC-103225,1.69524210383931e-09
TransactionDate_2024-03-18,1.6889763734282482e-09
CustomerID_AC-107727,1.6736148088107476e-09
TransactionDate_2025-02-07,1.6635347896888605e-09
CustomerID_AC-103557,1.6601325278241475e-09
CustomerID_AC-105960,1.6560125224804047e-09
CustomerID_AC-109452,1.648943917354467e-09
TransactionDate_2025-05-30,1.641031234715316e-09
TransactionDate_2024-11-23,1.636888416073315e-09
CustomerID_AC-102505,1.6220760785825476e-09
CustomerID_AC-100110,1.6175329809739276e-09
CustomerID_AC-101621,1.6151494564326418e-09
CustomerID_AC-108168,1.6080420231003694e-09
TransactionDate_2024-11-02,1.5912639457309212e-09
CustomerID_AC-108350,1.5903768857744037e-09
TransactionDate_2024-07-28,1.5879349750750642e-09
CustomerID_AC-101591,1.581451710112646e-09
TransactionDate_2024-05-16,1.579384779650643e-09
